,,A部 Section A 人类生活必需 Human necessities,B部 Section B 作业、运输 Performing operations; Transporting,C部 Section C 化学、冶金 Chemistry; Metallurgy,D部 Section D 纺织、造纸 Textiles; Paper,E部 Section E 固定建筑物 Fixed constructions,F部 Section F 机械工程；照明；加热；武器；爆破 Mechanical engineering; Lighting; Heating; Weapons; Blasting,G部 Section G 物  理 Physics,H部 Section H 电  学 Electricity,A----H 合  计 Total
,,183043,280203,188963,18154,66296,95524,517112,283133,1632428
,国家和地区  Countries and Regions,,,,,,,,,
阿联酋,AE,7,5,5,0,1,0,7,2,27
安提瓜和巴布达,AG,15,0,0,0,0,0,14,12,41
安圭拉,AI,1,4,0,0,8,0,0,0,13
阿根廷,AR,2,0,3,0,0,1,0,0,6
奥地利,AT,276,155,101,25,37,81,94,256,1025
澳大利亚,AU,275,77,107,3,24,32,104,49,671
巴巴多斯,BB,11,41,1,0,1,2,139,115,310
比利时,BE,308,111,137,8,28,70,71,65,798
保加利亚,BG,2,2,2,0,0,0,2,2,10
百慕大,BM,15,1,3,0,0,0,6,8,33
巴西,BR,39,25,36,6,4,20,68,73,271
巴哈马,BS,4,1,0,0,0,0,0,0,5
白俄罗斯,BY,0,2,0,0,0,0,0,0,2
加拿大,CA,249,172,178,8,54,65,211,199,1136
刚果(金),CD,0,1,1,0,0,0,0,0,2
瑞士,CH,2027,550,456,66,31,137,716,612,4595
智利,CL,6,4,11,0,0,0,3,1,25
中国,CN,140199,258855,174019,16985,64609,86821,486986,245061,1473535
哥伦比亚,CO,4,3,1,0,0,0,3,0,11
哥斯达黎加,CR,2,0,0,0,0,0,0,0,2
古巴,CU,8,0,0,0,0,0,0,0,8
塞浦路斯,CY,10,1,2,0,0,1,2,8,24
捷克,CZ,22,3,8,2,0,5,7,6,53
德国,DE,4276,3118,1206,128,254,1559,2437,2699,15677
丹麦,DK,442,107,140,4,15,224,87,192,1211
多米尼加,DO,2,1,0,0,0,0,0,0,3
爱沙尼亚,EE,5,1,1,0,0,0,1,0,8
埃及,EG,1,0,1,0,0,0,1,0,3
西班牙,ES,157,69,57,3,18,93,36,67,500
芬兰,FI,167,117,100,54,11,31,101,368,949
斐济,FJ,1,0,0,0,0,0,0,0,1
法国,FR,1830,865,446,30,36,452,624,801,5084
英国,GB,1170,312,325,15,32,167,459,333,2813
格鲁吉亚,GE,1,0,0,0,0,0,1,0,2
希腊,GR,7,5,2,0,0,0,1,2,17
克罗地亚,HR,0,1,0,0,0,2,0,6,9
匈牙利,HU,21,2,5,0,0,0,3,1,32
印度尼西亚,ID,0,0,1,0,0,0,1,1,3
爱尔兰,IE,247,17,43,0,3,35,85,84,514
以色列,IL,643,100,89,3,7,21,292,168,1323
印度,IN,97,54,74,5,0,32,17,43,322
伊朗,IR,1,0,0,0,0,0,1,1,3
冰岛,IS,9,3,1,0,1,0,1,0,15
意大利,IT,663,384,122,45,37,177,179,219,1826
约旦,JO,0,1,1,0,0,0,0,0,2
日本,JP,10316,7546,4529,366,390,2426,8638,11991,46202
柬埔寨,KH,0,0,0,0,0,1,1,0,2
圣基茨和尼维斯,KN,0,0,1,0,0,0,0,0,1
朝鲜,KP,1,0,0,0,0,0,0,0,1
韩国,KR,3326,1600,1561,160,91,592,3807,7126,18263
科威特,KW,1,0,0,0,0,0,0,0,1
开曼群岛,KY,34,12,40,2,0,0,196,175,459
哈萨克斯坦,KZ,0,0,0,0,0,0,1,1,2
列支敦士登,LI,75,74,15,0,2,4,11,15,196
斯里兰卡,LK,3,0,0,1,0,0,0,0,4
立陶宛,LT,5,1,1,0,0,0,1,6,14
卢森堡,LU,75,40,57,2,13,17,20,16,240
拉脱维亚,LV,3,0,1,0,0,1,3,0,8
摩洛哥,MA,2,0,0,0,0,1,0,1,4
摩纳哥,MC,9,1,2,0,0,0,0,0,12
马达加斯加,MG,0,0,0,0,0,0,1,0,1
马里,ML,0,0,2,0,0,0,1,0,3
马耳他,MT,10,12,2,0,1,0,4,2,31
毛里求斯,MU,12,0,0,0,0,0,0,0,12
墨西哥,MX,19,7,13,0,2,1,1,0,43
马来西亚,MY,30,12,11,0,3,6,18,12,92
纳米比亚,,0,1,0,0,0,0,0,0,1
荷兰,NL,1363,236,426,22,38,77,533,528,3223
挪威,NO,90,75,19,1,16,11,38,37,287
新西兰,NZ,139,22,8,2,5,9,14,18,217
阿曼,OM,0,1,0,0,0,0,0,0,1
巴拿马,PA,2,3,1,0,0,0,4,1,11
秘鲁,PE,2,0,0,0,0,2,0,1,5
菲律宾,PH,2,0,1,0,0,0,1,2,6
巴基斯坦,PK,0,0,1,0,0,0,2,0,3
