,,A部 Section A 人类生活必需 Human necessities,B部 Section B 作业、运输 Performing operations; Transporting,C部 Section C 化学、冶金 Chemistry; Metallurgy,D部 Section D 纺织、造纸 Textiles; Paper,E部 Section E 固定建筑物 Fixed constructions,F部 Section F 机械工程；照明；加热；武器；爆破 Mechanical engineering; Lighting; Heating; Weapons; Blasting,G部 Section G 物  理 Physics,H部 Section H 电  学 Electricity,A----H 合  计 Total
波兰,PL,40,20,12,0,1,12,3,2,90
葡萄牙,PT,41,3,12,0,0,0,3,5,64
卡塔尔,QA,0,3,1,0,0,0,0,0,4
罗马尼亚,RO,4,0,0,0,0,1,0,0,5
塞尔维亚,RS,1,0,0,0,0,0,0,0,1
俄罗斯,RU,39,33,35,1,1,19,38,7,173
沙特阿拉伯,SA,28,12,29,0,24,3,16,1,113
塞舌尔,SC,2,0,0,0,1,0,1,1,5
瑞典,SE,603,554,95,31,71,332,316,703,2705
新加坡,SG,230,67,94,1,3,10,485,607,1497
斯洛文尼亚,SI,12,0,1,1,2,4,3,3,26
斯洛伐克,SK,3,1,1,1,0,1,0,1,8
圣马力诺,SM,0,0,0,0,0,0,1,0,1
泰国,TH,26,8,19,0,1,4,15,7,80
土耳其,TR,25,12,7,7,7,7,6,10,81
乌克兰,UA,3,1,0,0,0,5,0,0,9
美国,US,13195,4669,4264,165,380,1939,10146,10386,45144
乌拉圭,UY,1,0,1,0,0,0,1,0,3
英属维尔京群岛,VG,30,4,10,0,28,7,19,10,108
越南,VN,4,2,0,1,0,1,0,1,9
萨摩亚,WS,3,0,1,0,0,0,1,2,7
南非,ZA,11,1,5,0,3,3,3,1,27
赞比亚,ZM,0,0,0,0,2,0,0,0,2
其他,Others,1,0,0,0,0,0,0,0,1
