,,合计 Total,职务 Service,非职务 Non-service
,,21376,19988,1388
,地区 Regions,,,
天津,Tianjin,3723,3202,521
河北,Hebei,14707,6501,8206
山西,Shanxi,2578,1695,883
内蒙古,Inner Mongolia,1709,1015,694
辽宁,Liaoning,4156,2441,1715
吉林,Jilin,2384,1599,785
黑龙江,Heilongjiang,2788,1478,1310
上海,Shanghai,21387,20277,1110
江苏,Jiangsu,35237,28910,6327
浙江,Zhejiang,100509,67772,32737
安徽,Anhui,14029,9240,4789
福建,Fujian,26008,17393,8615
江西,Jiangxi,17318,5595,11723
山东,Shandong,25229,18539,6690
河南,Henan,14404,7493,6911
湖北,Hubei,12232,6769,5463
湖南,Hunan,15124,6279,8845
广东,Guangdong,229305,156279,73026
广西,Guangxi,7174,2163,5011
海南,Hainan,1566,1206,360
重庆,Chongqing,6702,4758,1944
四川,Sichuan,16871,10592,6279
贵州,Guizhou,4633,2493,2140
云南,Yunnan,3356,2175,1181
西藏,Tibet,217,157,60
陕西,Shaanxi,4517,2919,1598
甘肃,Gansu,1401,903,498
青海,Qinghai,227,153,74
宁夏,Ningxia,369,280,89
新疆,Xinjiang,1242,686,556
台湾,Taiwan,1049,789,260
香港,Hong Kong,1132,960,172
澳门,Macao,18,7,11
广州,Guangzhou,33182,28205,4977
长春,Changchun,1581,1292,289
武汉,Wuhan,5552,4431,1121
南京,Nanjing,4642,4041,601
杭州,Hangzhou,17592,15668,1924
西安,Xi'an,3040,2313,727
济南,Jinan,3010,2538,472
沈阳,Shenyang,1560,994,566
成都,Chengdu,9598,8057,1541
大连,Dalian,1021,648,373
厦门,Xiamen,7445,6830,615
哈尔滨,Harbin,1402,856,546
深圳,Shenzhen,64440,58232,6208
青岛,Qingdao,6291,5577,714
宁波,Ningbo,20021,14583,5438
新疆兵团,Xinjiang Bingtuan,94,66,28
