,,Invention,Invention,Invention,Utility Model,Utility Model,Utility Model
,,Sub-total,Domestic,Foreign,Sub-total,Domestic,Foreign
,分类 Classification,,,,,,
合计 Total,合计 Total,1618959,1458282,160677,2968933,2961677,7256
A部 Section A,A部 Section A,188916,160373,28543,469151,467618,1533
A01,农业；林业；畜牧业；狩猎；诱捕；捕鱼,31181,29769,1412,81939,81867,72
A01,Agriculture; Forestry; Animal Husbandry; Hunting; Trapping;  Fishing,,,,,,
A21,焙烤；制作或处理面团的设备；焙烤用面团,1508,1454,54,3653,3646,7
A21,Baking; Equipment For Making Or Processing Doughs; Doughs  For Baking,,,,,,
A22,屠宰；肉品处理；家禽或鱼的加工,808,770,38,2771,2769,2
A22,Butchering; Meat Treatment; Processing Poultry Or Fish,,,,,,
A23,其他类不包含的食品或食料；及其处理,18872,18030,842,14569,14551,18
A23,"Foods Or Foodstuffs; Treatment Thereof, Not  Covered By Other Classes",,,,,,
A24,烟草；雪茄烟；纸烟；模拟吸烟装置；吸烟者用品,3779,3102,677,6614,6593,21
A24,Tobacco; Cigars; Cigarettes; Simulated Smoking Devices;  Smokers' Requisites,,,,,,
A41,服装,2063,1882,181,15736,15697,39
A41,Wearing Apparel,,,,,,
A42,帽类制品,499,439,60,2330,2319,11
A42,Headwear,,,,,,
A43,鞋类,1389,1022,367,6457,6439,18
A43,Footwear,,,,,,
A44,服饰缝纫用品；珠宝,791,652,139,3417,3395,22
A44,Haberdashery; Jewellery,,,,,,
A45,手携物品或旅行品,1574,1258,316,10629,10544,85
A45,Hand Or Travelling Articles,,,,,,
A46,刷类制品,398,303,95,1735,1720,15
A46,Brushware,,,,,,
A47,家具；家庭用的物品或设备；咖啡磨；香料磨；一般吸尘器,18687,17143,1544,97796,97476,320
A47,Furniture; Domestic Articles Or Appliances; Coffee Mills;  Spice Mills; Suction Cleaners In General,,,,,,
A61,医学或兽医学；卫生学,85834,71349,14485,188906,188248,658
A61,Medical Or Veterinary Science; Hygiene,,,,,,
A62,救生；消防,3071,2905,166,9391,9353,38
A62,Life-Saving; Fire-Fighting,,,,,,
A63,运动；游戏；娱乐活动,8558,7815,743,23035,22943,92
A63,Sports; Games; Amusements,,,,,,
A99,本部其他类目中不包括的技术主题,9904,2480,7424,173,58,115
A99,Subject Matter Not Otherwise Provided For In This Section,,,,,,
B部 Section B,B部 Section B,314392,288706,25686,1105889,1104209,1680
B01,一般的物理或化学的方法或装置,39858,37647,2211,141653,141542,111
B01,Physical Or Chemical Processes Or Apparatus In General,,,,,,
B02,破碎、磨粉或粉碎；谷物碾磨的预处理,6889,6797,92,33634,33619,15
B02,"Crushing, Pulverising, Or Disintegrating; Preparatory  Treatment Of Grain For Milling",,,,,,
B03,用液体或用风力摇床或风力跳汰机分离固体物料；从固体物料或流体中分离固体物料的磁或静电分离；高压电场分离,2067,1989,78,4935,4927,8
B03,Separation Of Solid Materials Using Liquids Or Using  Pneumatic Tables Or Jigs; Magnetic Or Electrostatic Separation Of Solid  Materials From Solid Materials Or Fluids; Separation By High-Voltage Electric  Fields,,,,,,
B04,用于实现物理或化学工艺过程的离心装置或离心机,588,541,47,2803,2802,1
B04,Centrifugal Apparatus Or Machines For Carrying-Out Physical  Or Chemical Processes,,,,,,
B05,一般喷射或雾化；对表面涂覆流体的一般方法,9002,8470,532,32162,32112,50
B05,"Spraying Or Atomising In General; Applying  Fluent Materials To Surfaces, In General",,,,,,
B06,一般机械振动的发生或传递,232,159,73,248,239,9
B06,Generating Or Transmitting Mechanical Vibrations In General,,,,,,
B07,将固体从固体中分离；分选,6001,5925,76,25533,25526,7
B07,Separating Solids From Solids; Sorting,,,,,,
B08,清洁,8275,8121,154,38428,38408,20
B08,Cleaning,,,,0,,
B09,固体废物的处理；被污染土壤的再生,2957,2918,39,4370,4366,4
B09,Disposal Of Solid Waste; Reclamation Of Contaminated Soil,,,,,,
B21,基本上无切削的金属机械加工；金属冲压,14765,14290,475,52492,52467,25
B21,Mechanical Metal-Working Without Essentially Removing  Material; Punching Metal,,,,,,
B22,铸造；粉末冶金,7653,7105,548,14049,14034,15
B22,Casting; Powder Metallurgy,,,,,,
B23,机床；其他类目中不包括的金属加工,35629,34072,1557,122374,122306,68
B23,Machine Tools; Metal-Working Not Otherwise Provided For,,,,,,
B24,磨削；抛光,10512,10114,398,40713,40691,22
B24,Grinding; Polishing,,,,,,
B25,手动工具；轻便机动工具；手动器械的手柄；车间设备；机械手,14280,13207,1073,49790,49696,94
B25,Hand Tools; Portable Power-Driven Tools; Handles For Hand  Implements; Workshop Equipment; Manipulators,,,,,,
B26,手动切割工具；切割；切断,5147,4989,158,28117,28091,26
B26,Hand Cutting Tools; Cutting; Severing,,,,,,
B27,木材或类似材料的加工或保存；一般钉钉机或钉U形钉机,3067,2984,83,8619,8615,4
B27,Working Or Preserving Wood Or Similar Material; Nailing Or  Stapling Machines In General,,,,,,
B28,加工水泥、黏土或石料,6298,6142,156,24637,24632,5
B28,"Working Cement, Clay, Or Stone",,,,,,
B29,塑料的加工；一般处于塑性状态物质的加工,18066,16291,1775,63563,63478,85
B29,Working Of Plastics; Working Of Substances In A Plastic  State In General,,,,,,
B30,压力机,1358,1310,48,6852,6851,1
B30,Presses,,,,,,
B31,纸品或纸板或类似纸的方式加工的材料制品制作；纸或纸板或类似纸的方式加工的材料的加工,1651,1598,53,7813,7813,0
