,,Total,Service,Non-service
,,20032,18883,1149
,地区Regions,,,
天津,Tianjin,4503,3941,562
河北,Hebei,18890,9323,9567
山西,Shanxi,2860,2094,766
内蒙古,Inner Mongolia,1947,1355,592
辽宁,Liaoning,6263,3902,2361
吉林,Jilin,2581,1905,676
黑龙江,Heilongjiang,2997,1799,1198
上海,Shanghai,21001,19685,1316
江苏,Jiangsu,40163,34264,5899
浙江,Zhejiang,123676,91722,31954
安徽,Anhui,15089,10640,4449
福建,Fujian,31796,23108,8688
江西,Jiangxi,20218,8318,11900
山东,Shandong,27994,21401,6593
河南,Henan,16510,9105,7405
湖北,Hubei,11618,7209,4409
湖南,Hunan,15636,7016,8620
广东,Guangdong,251383,182581,68802
广西,Guangxi,6202,2293,3909
海南,Hainan,1751,1404,347
重庆,Chongqing,7196,5345,1851
四川,Sichuan,17451,11734,5717
贵州,Guizhou,5308,2878,2430
云南,Yunnan,3451,2429,1022
西藏,Tibet,337,282,55
陕西,Shaanxi,5074,3617,1457
甘肃,Gansu,1658,1170,488
青海,Qinghai,293,188,105
宁夏,Ningxia,514,397,117
新疆,Xinjiang,1508,979,529
台湾,Taiwan,961,728,233
香港,Hong Kong,1097,963,134
澳门,Macao,20,7,13
广州,Guangzhou,36087,31723,4364
长春,Changchun,1647,1401,246
武汉,Wuhan,5402,4480,922
南京,Nanjing,4710,4207,503
杭州,Hangzhou,18868,17405,1463
西安,Xi'an,3352,2703,649
济南,Jinan,3594,3091,503
沈阳,Shenyang,2351,1600,751
成都,Chengdu,9816,8435,1381
大连,Dalian,1199,898,301
厦门,Xiamen,8182,7634,548
哈尔滨,Harbin,1651,1111,540
深圳,Shenzhen,70893,65077,5816
青岛,Qingdao,6015,5322,693
宁波,Ningbo,23907,18329,5578
新疆兵团,Xinjiang Bingtuan,157,111,46
