,,Invention,Invention,Invention,Utility Model,Utility Model,Utility Model
,,Sub-total,Domestic,Foreign,Sub-total,Domestic,Foreign
,分 类,,,,,,
合计 Total,合计 Total,1570514,1504140,66374,3108701,3102537,6164
A部 Section A,A部 Section A,124125,118226,5899,432664,431321,1343
A01,农业；林业；畜牧业；狩猎；诱捕；捕鱼,22986,22593,393,90230,90174,56
A01,Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing,,,,,,
A21,焙烤；制作或处理面团的设备；焙烤用面团,830,822,8,4635,4634,1
A21,Baking; Equipment For Making Or Processing Doughs; Doughs For Baking,,,,,,
A22,屠宰；肉品处理；家禽或鱼的加工,529,515,14,3951,3950,1
A22,Butchering; Meat Treatment; Processing Poultry Or Fish,,,,,,
A23,其他类不包含的食品或食料；及其处理,11991,11890,101,16938,16930,8
A23,"Foods Or Foodstuffs; Treatment Thereof, Not Covered By Other Classes",,,,,,
A24,烟草；雪茄烟；纸烟；模拟吸烟装置；吸烟者用品,3612,3102,510,7876,7641,235
A24,Tobacco; Cigars; Cigarettes; Simulated Smoking Devices; Smokers' Requisites,,,,,,
A41,服装,919,866,53,12190,12167,23
A41,Wearing Apparel,,,,,,
A42,帽类制品,293,266,27,2100,2095,5
A42,Headwear,,,,,,
A43,鞋类,801,688,113,7692,7672,20
A43,Footwear,,,,,,
A44,服饰缝纫用品；珠宝,425,342,83,3206,3182,24
A44,Haberdashery; Jewellery,,,,,,
A45,手携物品或旅行品,793,704,89,9743,9711,32
A45,Hand Or Travelling Articles,,,,,,
A46,刷类制品,152,124,28,1463,1459,4
A46,Brushware,,,,,,
A47,家具；家庭用的物品或设备；咖啡磨；香料磨；一般吸尘器,11092,10565,527,83791,83542,249
A47,Furniture; Domestic Articles Or Appliances; Coffee Mills; Spice Mills; Suction Cleaners In General,,,,,,
A61,医学或兽医学；卫生学,61827,58223,3604,160628,160043,585
A61,Medical Or Veterinary Science; Hygiene,,,,,,
A62,救生；消防,2384,2348,36,10185,10179,6
A62,Life-Saving; Fire-Fighting,,,,,,
A63,运动；游戏；娱乐活动,5491,5178,313,18036,17942,94
A63,Sports; Games; Amusements,,,,,,
B部 Section B,B部 Section B,277881,266146,11735,1228074,1226871,1203
B01,一般的物理或化学的方法或装置,37435,36921,514,160322,160236,86
B01,Physical Or Chemical Processes Or Apparatus In General,,,,,,
B02,破碎、磨粉或粉碎；谷物碾磨的预处理,4720,4686,34,35406,35397,9
B02,"Crushing, Pulverising, Or Disintegrating; Preparatory Treatment Of Grain For Milling",,,,,,
B03,用液体或用风力摇床或风力跳汰机分离固体物料；从固体物料或流体中分离固体物料的磁或静电分离；高压电场分离,2115,2101,14,5528,5522,6
B03,Separation Of Solid Materials Using Liquids Or Using Pneumatic Tables Or Jigs; Magnetic Or Electrostatic Separation Of Solid Materials From Solid Materials Or Fluids; Separation By High-Voltage Electric Fields,,,,,,
B04,用于实现物理或化学工艺过程的离心装置或离心机,588,579,9,3427,3426,1
B04,Centrifugal Apparatus Or Machines For Carrying-Out Physical Or Chemical Processes,,,,,,
B05,一般喷射或雾化；对表面涂覆流体的一般方法,6941,6740,201,36788,36749,39
B05,"Spraying Or Atomising In General; Applying Fluent Materials To Surfaces, In General",,,,,,
B06,一般机械振动的发生或传递,266,232,34,215,213,2
B06,Generating Or Transmitting Mechanical Vibrations In General,,,,,,
B07,将固体从固体中分离；分选,4796,4766,30,30774,30770,4
B07,Separating Solids From Solids; Sorting,,,,,,
B08,清洁,6352,6278,74,42715,42698,17
B08,Cleaning,,,,,,
B09,固体废物的处理；被污染土壤的再生,2610,2592,18,5045,5040,5
B09,Disposal Of Solid Waste; Reclamation Of Contaminated Soil,,,,,,
B21,基本上无切削的金属机械加工；金属冲压,13331,13229,102,59595,59574,21
B21,Mechanical Metal-Working Without Essentially Removing Material; Punching Metal,,,,,,
B22,铸造；粉末冶金,7851,7704,147,14791,14780,11
B22,Casting; Powder Metallurgy,,,,,,
B23,机床；其他类目中不包括的金属加工,34002,33469,533,139561,139506,55
B23,Machine Tools; Metal-Working Not Otherwise Provided For,,,,,,
B24,磨削；抛光,9313,9098,215,51714,51683,31
B24,Grinding; Polishing,,,,,,
B25,手动工具；轻便机动工具；手动器械的手柄；车间设备；机械手,13111,12592,519,58109,58057,52
B25,Hand Tools; Portable Power-Driven Tools; Handles For Hand Implements; Workshop Equipment; Manipulators,,,,,,
B26,手动切割工具；切割；切断,3283,3226,57,32354,32334,20
B26,Hand Cutting Tools; Cutting; Severing,,,,,,
B27,木材或类似材料的加工或保存；一般钉钉机或钉U形钉机,1757,1730,27,9104,9101,3
B27,Working Or Preserving Wood Or Similar Material; Nailing Or Stapling Machines In General,,,,,,
B28,加工水泥、黏土或石料,5087,5041,46,27268,27265,3
B28,"Working Cement, Clay, Or Stone",,,,,,
B29,塑料的加工；一般处于塑性状态物质的加工,16013,15430,583,71635,71561,74
B29,Working Of Plastics; Working Of Substances In A Plastic State In General,,,,,,
B30,压力机,863,856,7,7015,7014,1
B30,Presses,,,,,,
B31,纸品或纸板或类似纸的方式加工的材料制品制作；纸或纸板或类似纸的方式加工的材料的加工,1061,1047,14,9062,9059,3
B31,"Making Articles Of Paper, Cardboard Or Material Worked In A Manner Analogous To Paper; Working Paper, Cardboard Or Material Worked In A Manner Analogous To Paper",,,,,,
B32,层状产品,3799,3600,199,13091,13065,26
B32,Layered Products,,,,,,
B41,印刷；排版机；打字机；模印机,3599,2859,740,17719,17691,28
B41,Printing; Lining Machines; Typewriters; Stamps,,,,,,
B42,装订；图册；文件夹；特种印刷品,175,158,17,3027,3027,0
B42,Bookbinding; Albums; Files; Special Printed Matter,,,,,,
B43,书写或绘图器具；办公用品,219,210,9,3574,3570,4
B43,Writing Or Drawing Implements; Bureau Accessories,,,,,,
B44,装饰艺术,389,377,12,3492,3490,2
B44,Decorative Arts,,,,,,
B60,一般车辆,33946,29030,4916,51708,51390,318
B60,Vehicles In General,,,,,,
B61,铁路,3151,3112,39,4728,4725,3
B61,Railways,,,,,,
B62,无轨陆用车辆 B62B手动车辆，例如手推车或摇篮车；雪橇,7328,6445,883,33726,33602,124
B62,Land Vehicles For Travelling Otherwise Than On Rails,,,,,,
B63,船舶或其他水上船只；与船有关的设备,5555,5490,65,8573,8565,8
B63,Ships Or Other Waterborne Vessels; Related Equipment,,,,,,
B64,飞行器；航空；宇宙航行,6087,5767,320,10477,10473,4
B64,Aircraft; Aviation; Cosmonautics,,,,,,
B65,输送；包装；贮存；搬运薄的或细丝状材料,30251,29381,870,224436,224252,184
B65,Conveying; Packing; Storing; Handling Thin Or Filamentary Material,,,,,,
B66,卷扬；提升；牵引,10209,9816,393,45072,45039,33
B66,Hoisting; Lifting; Hauling,,,,,,
B67,开启或封闭瓶子、罐或类似的容器；液体的贮运,1073,1028,45,7683,7668,15
B67,"Opening Or Closing Bottles, Jars Or Similar Containers; Liquid Handling",,,,,,
B68,鞍具；家具罩面,29,27,2,207,207,0
B68,Saddlery; Upholstery,,,,,,
B81,微观结构技术,562,515,47,131,120,11
B81,Microstructural Technology,,,,,,
B82,超微技术,14,14,0,2,2,0
B82,Nanotechnology,,,,,,
C部 Section C,C部 Section C,179757,175463,4294,97570,97440,130
C01,无机化学,10895,10804,91,2043,2040,3
C01,Inorganic Chemistry,,,,,,
C02,水、废水、污水或污泥的处理,14129,14067,62,37594,37583,11
C02,"Treatment Of Water, Waste Water, Sewage, Or Sludge",,,,,,
C03,玻璃；矿棉或渣棉,3580,3303,277,5232,5219,13
C03,Glass; Mineral Or Slag Wool,,,,,,
C04,水泥；混凝土；人造石；陶瓷；耐火材料〔4〕,10724,10641,83,623,623,0
C04,Cements; Concrete; Artificial Stone; Ceramics; Refractories,,,,,,
C05,肥料；肥料制造〔4〕,2231,2221,10,2088,2088,0
C05,Fertilisers; Manufacture Thereof,,,,,,
C06,炸药；火柴,341,338,3,183,183,0
C06,Explosives; Matches,,,,,,
C07,有机化学〔2）,27969,26891,1078,271,271,0
C07,Organic Chemistry,,,,,,
C08,有机高分子化合物；其制备或化学加工；以其为基料的组合物,26159,25400,759,160,159,1
C08,Organic Macromolecular Compounds; Their Preparation Or Chemical Working-Up; Compositions Based Thereon,,,,,,
C09,染料；涂料；抛光剂；天然树脂；黏合剂；其他类目不包含的组合物；其他类目不包含的材料的应用,16273,15654,619,2565,2555,10
C09,Dyes; Paints; Polishes; Natural Resins; Adhesives; Compositions Not Otherwise Provided For; Applications Of Materials Not Otherwise Provided For,,,,,,
C10,石油、煤气及炼焦工业；含一氧化碳的工业气体；燃料；润滑剂；泥煤,4190,4105,85,3497,3494,3
C10,"Petroleum, Gas Or Coke Industries; Technical Gases Containing Carbon Monoxide; Fuels; Lubricants; Peat",,,,,,
C11,动物或植物油、脂、脂肪物质或蜡；由此制取的脂肪酸；洗涤剂；蜡烛,1570,1529,41,1794,1793,1
C11,"Animal Or Vegetable Oils, Fats, Fatty Substances Or Waxes; Fatty Acids Therefrom; Detergents; Candles",,,,,,
C12,生物化学；啤酒；烈性酒；果汁酒；醋；微生物学；酶学；突变或遗传工程,30527,30087,440,14949,14935,14
C12,Biochemistry; Beer; Spirits; Wine; Vinegar; Microbiology; Enzymology; Mutation Or Genetic Engineering,,,,,,
C13,糖工业〔4〕,51,50,1,126,126,0
C13,Sugar Industry,,,,,,
C14,小原皮；大原皮；毛皮或皮革,208,208,0,1095,1095,0
C14,Skins; Hides; Pelts Or Leather,,,,,,
C21,铁的冶金,4490,4462,28,7834,7831,3
C21,Metallurgy Of Iron,,,,,,
C22,冶金；黑色或有色金属合金；合金或有色金属的处理,10504,10385,119,1361,1359,2
C22,Metallurgy; Ferrous Or Non-Ferrous Alloys; Treatment Of Alloys Or Non-Ferrous Metals,,,,,,
C23,对金属材料的镀覆；用金属材料对材料的镀覆；表面化学处理；金属材料的扩散处理；真空蒸发法、溅射法、离子注入法或化学气相沉积法的一般镀覆；金属材料腐蚀或积垢的一般抑制,7061,6665,396,7439,7380,59
C23,"Coating Metallic Material; Coating Material With Metallic Material; Chemical Surface Treatment; Diffusion Treatment Of Metallic Material; Coating By Vacuum Evaporation, By Sputtering, By Ion Implantation Or By Chemical Vapour Deposition, In General; Inhibiting Corrosion Of Metallic Material Or Incrustation In General",,,,,,
C25,电解或电泳工艺；其所用设备,6567,6422,145,6904,6894,10
C25,Electrolytic Or Electrophoretic Processes; Apparatus Therefor,,,,,,
C30,晶体生长,2201,2146,55,1809,1809,0
C30,Crystal Growth,,,,,,
C40,组合技术,87,85,2,3,3,0
C40,Combinatorial Technology,,,,,,
D部 Section D,D部 Section D,16643,16149,494,43849,43774,75
D01,天然或化学的线或纤维；纺纱或纺丝,2820,2720,100,6017,6006,11
D01,Natural Or Man-Made Threads Or Fibres; Spinning,,,,,,
D02,纱线；纱线或绳索的机械整理；整经或络经,651,635,16,1939,1937,2
D02,Yarns; Mechanical Finishing Of Yarns Or Ropes; Warping Or Beaming,,,,,,
D03,织造,848,824,24,2855,2848,7
D03,Weaving,,,,,,
D04,编织；花边制作；针织；饰带；非织造布,1689,1624,65,3581,3562,19
D04,Braiding; Lace-Making; Knitting; Trimmings; Non-Woven Fabrics,,,,,,
D05,缝纫；绣花；簇绒,741,709,32,5174,5164,10
D05,Sewing; Embroidering; Tufting,,,,,,
D06,织物等的处理；洗涤；其他类不包括的柔性材料,8019,7822,197,20719,20701,18
D06,Treatment Of Textiles Or The Like; Laundering; Flexible Materials Not Otherwise Provided For,,,,,,
D07,绳；除电缆以外的缆索,165,163,2,533,532,1
D07,Ropes; Cables Other Than Electric,,,,,,
D21,造纸；纤维素的生产,1710,1652,58,3031,3024,7
D21,Paper-Making; Production Of Cellulose,,,,,,
