,,Total,Service,Non-service
,,82474,79081,3393
,地区Regions,,,
天津,Tianjin,51983,50185,1798
河北,Hebei,85847,75695,10152
山西,Shanxi,27101,24029,3072
内蒙古,Inner Mongolia,26763,22000,4763
辽宁,Liaoning,64769,59464,5305
吉林,Jilin,23169,20699,2470
黑龙江,Heilongjiang,24956,18465,6491
上海,Shanghai,106611,104616,1995
江苏,Jiangsu,401356,393513,7843
浙江,Zhejiang,278679,269225,9454
安徽,Anhui,142397,136590,5807
福建,Fujian,89951,86959,2992
江西,Jiangxi,43534,40047,3487
山东,Shandong,255023,229006,26017
河南,Henan,118161,110778,7383
湖北,Hubei,128774,124361,4413
湖南,Hunan,49594,46074,3520
广东,Guangdong,385520,372473,13047
广西,Guangxi,26847,23486,3361
海南,Hainan,12420,11733,687
重庆,Chongqing,50138,47845,2293
四川,Sichuan,96570,89056,7514
贵州,Guizhou,16928,15217,1711
云南,Yunnan,34477,31962,2515
西藏,Tibet,2320,2190,130
陕西,Shaanxi,61623,56481,5142
甘肃,Gansu,21587,18950,2637
青海,Qinghai,5112,4324,788
宁夏,Ningxia,11790,11131,659
新疆,Xinjiang,20860,18880,1980
台湾,Taiwan,3860,3157,703
香港,Hong Kong,858,700,158
澳门,Macao,50,38,12
广州,Guangzhou,59762,57229,2533
长春,Changchun,16390,15288,1102
武汉,Wuhan,61541,59733,1808
南京,Nanjing,49479,48087,1392
杭州,Hangzhou,76181,73931,2250
西安,Xi'an,40429,37857,2572
济南,Jinan,43719,40100,3619
沈阳,Shenyang,25364,23690,1674
成都,Chengdu,51299,48546,2753
大连,Dalian,19693,18765,928
厦门,Xiamen,21542,21041,501
哈尔滨,Harbin,14206,10885,3321
深圳,Shenzhen,127031,124364,2667
青岛,Qingdao,54334,52154,2180
宁波,Ningbo,44686,43342,1344
新疆兵团,Xinjiang Bingtuan,2095,1946,149
