,,A部 Section A 人类生活必需 Human necessities,B部 Section B 作业、运输 Performing operations; Transporting,C部 Section C 化学、冶金 Chemistry; Metallurgy,D部 Section D 纺织、造纸 Textiles; Paper,E部 Section E 固定建筑物 Fixed constructions,F部 Section F 机械工程；照明；加热；武器；爆破 Mechanical engineering; Lighting; Heating; Weapons; Blasting,G部 Section G 物 理 Physics,H部 Section H 电 学 Electricity,A----H 合 计 Total
,,77199,168602,121047,12656,34956,50576,290642,165119,920797
,国家和地区 Countries and Regions,,,,,,,,,
阿联酋,AE,1,3,6,0,3,1,3,0,17
安提瓜和巴布达,AG,0,0,0,0,0,0,16,16,32
阿根廷,AR,0,0,1,0,0,0,0,0,1
奥地利,AT,52,173,116,25,41,60,87,147,701
澳大利亚,AU,105,57,43,2,20,11,51,37,326
巴巴多斯,BB,6,25,0,0,0,9,55,37,132
比利时,BE,47,93,130,21,11,38,66,77,483
保加利亚,BG,0,1,0,0,0,1,1,1,4
百慕大,BM,8,0,0,0,0,0,9,7,24
巴西,BR,7,14,18,3,7,10,11,40,110
巴哈马,BS,2,1,0,0,0,0,0,0,3
白俄罗斯,BY,0,3,0,0,0,0,0,0,3
加拿大,CA,89,147,68,4,43,44,122,114,631
刚果（金）,CD,0,1,0,0,0,0,0,0,1
瑞士,CH,508,508,379,77,25,107,397,330,2331
智利,CL,1,3,2,0,0,0,4,1,11
中国,CN,67249,150254,108764,11329,33635,43969,265986,138048,819234
哥伦比亚,CO,0,0,0,0,1,0,0,0,1
哥斯达黎加,CR,1,0,0,0,0,0,0,0,1
古巴,CU,3,0,3,0,0,0,0,0,6
塞浦路斯,CY,3,0,0,0,0,0,4,8,15
捷克,CZ,6,8,9,0,0,2,7,7,39
德国,DE,702,2817,1021,208,211,1205,1580,1700,9444
丹麦,DK,95,53,76,3,10,158,50,78,523
爱沙尼亚,EE,0,1,0,1,0,0,2,0,4
埃及,EG,1,0,0,0,0,0,0,0,1
西班牙,ES,38,65,47,9,13,18,21,14,225
芬兰,FI,41,117,57,40,6,19,64,257,601
法国,FR,442,857,405,51,30,463,478,508,3234
英国,GB,266,264,242,16,32,184,477,254,1735
格鲁吉亚,GE,0,0,0,0,0,1,0,0,1
根西岛,GG,1,1,0,0,0,0,0,0,2
直布罗陀,GI,0,0,0,0,0,0,1,0,1
希腊,GR,5,7,0,0,1,0,1,0,14
克罗地亚,HR,2,0,0,0,0,0,1,0,3
匈牙利,HU,6,2,9,0,1,0,6,1,25
印度尼西亚,ID,1,1,0,0,0,0,0,0,2
爱尔兰,IE,60,17,28,1,0,39,95,124,364
以色列,IL,242,71,40,0,2,8,149,71,583
马恩岛,IM,0,0,0,0,1,0,0,0,1
印度,IN,28,33,44,2,1,9,37,13,167
伊朗,IR,0,0,0,0,0,0,0,1,1
冰岛,IS,2,5,0,0,0,0,0,1,8
意大利,IT,173,386,129,56,32,145,119,99,1139
约旦,JO,0,1,0,0,0,0,0,0,1
日本,JP,1984,7197,4415,396,292,2154,6821,9670,32929
吉尔吉斯斯坦,KG,0,0,0,0,1,0,0,0,1
柬埔寨,KH,0,0,0,0,0,0,0,1,1
韩国,KR,844,1205,1764,192,60,573,3059,4926,12623
科威特,KW,0,1,0,0,0,0,0,0,1
开曼群岛,KY,9,30,19,6,0,0,2696,607,3367
列支敦士登,LI,9,83,12,0,0,15,6,10,135
斯里兰卡,LK,1,0,0,0,0,0,0,0,1
立陶宛,LT,1,0,0,0,0,0,0,0,1
卢森堡,LU,22,45,55,1,2,13,28,21,187
摩洛哥,MA,1,0,3,0,0,0,0,0,4
摩纳哥,MC,3,0,0,0,0,0,1,0,4
马里,ML,0,0,0,0,0,0,1,2,3
马耳他,MT,2,5,3,0,0,0,0,1,11
毛里求斯,MU,1,0,0,0,0,0,0,0,1
墨西哥,MX,3,3,9,0,0,2,0,0,17
马来西亚,MY,13,6,6,0,0,3,2,1,31
荷兰,NL,418,202,325,15,47,59,509,421,1996
挪威,NO,16,40,30,1,13,12,24,28,164
新西兰,NZ,42,2,10,1,9,4,4,11,83
巴拿马,PA,0,9,3,0,0,0,0,0,12
秘鲁,PE,1,0,0,0,1,0,0,0,2
菲律宾,PH,0,0,0,0,0,0,0,5,5
巴基斯坦,PK,0,1,0,0,0,0,0,0,1
波兰,PL,11,20,5,0,2,7,1,1,47
巴勒斯坦,PS,0,1,0,0,0,0,0,0,1
葡萄牙,PT,6,8,2,1,0,0,4,6,27
罗马尼亚,RO,0,0,0,0,1,1,1,0,3
俄罗斯,RU,13,12,21,1,3,5,55,16,126
沙特阿拉伯,SA,0,4,15,0,13,3,14,11,60
塞舌尔,SC,1,1,0,0,0,0,0,2,4
瑞典,SE,148,380,72,37,65,152,237,548,1639
新加坡,SG,59,47,52,3,0,11,330,406,908
斯洛文尼亚,SI,3,2,1,0,1,3,1,3,14
斯洛伐克,SK,1,1,3,0,0,0,1,0,6
圣马力诺,SM,0,2,0,0,0,0,0,0,2
泰国,TH,3,6,14,0,1,0,18,5,47
突尼斯,TN,2,0,0,0,0,0,0,1,3
土耳其,TR,10,6,5,7,5,2,6,6,47
乌克兰,UA,2,0,0,0,0,0,3,1,6
美国,US,3346,3288,2558,147,313,1055,6899,6399,24005
乌拉圭,UY,1,0,1,0,0,0,0,0,2
英属维尔京群岛,VG,25,2,1,0,0,0,15,4,47
越南,VN,0,1,0,0,0,0,0,0,1
萨摩亚,WS,1,0,1,0,0,0,3,14,19
南非,ZA,4,3,5,0,1,1,3,1,18
