,,2018年,2022年,2023年,2018年,2022年,2023年,2018年,2022年,2023年
,,5,37,12,8,7,20,85,62,74
,地区 Regions,,,,,,,,,
阿联酋,AE,465,875,1069,318,420,501,3616,4738,5498
阿富汗,AF,49,82,155,24,92,70,330,399,451
安提瓜和巴布达,AG,14,31,1,0,9,9,23,83,113
安圭拉,AI,264,20,0,40,24,4,596,783,732
阿尔巴尼亚,AL,2,5,5,0,5,0,19,31,31
亚美尼亚,AM,32,16,24,25,10,10,131,216,234
安哥拉,AO,8,4,15,3,1,5,66,45,48
阿根廷,AR,291,138,186,119,120,114,1323,1724,1772
奥地利,AT,1646,1292,1088,1532,1137,847,12261,15053,15344
澳大利亚,AU,8143,6473,4917,7436,4903,3503,33002,52422,54287
阿鲁巴,AW,0,0,0,0,0,0,1,1,1
阿塞拜疆,AZ,29,80,116,25,49,26,304,327,287
波黑,BA,5,20,5,0,25,3,9,41,46
巴巴多斯,BB,85,118,40,49,119,41,720,970,984
孟加拉国,BD,22,25,17,18,11,10,130,175,185
比利时,BE,5593,1435,1129,1603,1120,855,11795,14435,14581
布基纳法索,BF,0,2,2,3,2,4,13,14,17
保加利亚,BG,169,150,122,185,109,67,1496,1822,1794
巴林,BH,7,28,56,10,6,36,134,128,140
布隆迪,BI,0,0,1,0,0,0,18,13,15
贝宁,BJ,0,5,2,0,5,4,26,30,27
百慕大,BM,334,183,95,174,152,167,2070,2486,2575
文莱,BN,7,1,1,6,3,1,279,207,187
玻利维亚,BO,14,9,7,2,2,1,40,58,59
巴西,BR,427,557,549,323,356,299,3782,4648,4730
巴哈马,BS,135,68,20,137,39,31,1095,970,964
博茨瓦纳,BW,45,0,0,87,0,0,133,92,92
白俄罗斯,BY,205,116,148,212,86,87,731,1080,1142
伯利兹,BZ,158,29,8,88,19,11,513,543,487
加拿大,CA,4530,3721,3175,2859,2987,2047,17528,28574,29873
刚果（金）,CD,1,0,5,0,0,0,17,18,19
中非,CF,0,0,4,0,0,0,0,0,0
刚果（布）,CG,0,0,0,0,0,0,5,7,7
瑞士,CH,8120,7904,6701,7835,6318,4866,68095,82611,85520
科特迪瓦,CI,20,3,6,4,2,1,28,46,43
库克群岛,CK,31,8,13,11,44,6,267,330,318
智利,CL,400,365,372,354,351,242,2575,3620,3791
喀麦隆,CM,55,8,5,6,30,3,27,240,243
哥伦比亚,CO,155,276,196,104,175,79,899,1197,1244
哥斯达黎加,CR,26,56,20,3,22,20,71,123,138
古巴,CU,10,14,19,14,6,0,207,199,200
库拉索,CW,39,14,1,107,3,17,331,222,229
塞浦路斯,CY,369,371,225,405,328,177,3268,3621,3424
捷克,CZ,566,316,242,404,224,198,3447,4369,4432
德国,DE,20762,16387,12460,22031,12400,10404,156956,191453,195748
