,,合计 Total,职务 Service,非职务 Non-service
,,20028,18195,1833
,地区Regions,,,
天津,Tianjin,4124,3557,567
河北,Hebei,13220,5875,7345
山西,Shanxi,2123,1311,812
内蒙古,Inner Mongolia,1563,876,687
辽宁,Liaoning,4706,2532,2174
吉林,Jilin,2267,1359,908
黑龙江,Heilongjiang,2883,1095,1788
上海,Shanghai,19886,18446,1440
江苏,Jiangsu,38314,28766,9548
浙江,Zhejiang,85919,53887,32032
安徽,Anhui,11754,7441,4313
福建,Fujian,24818,15591,9227
江西,Jiangxi,18043,5461,12582
山东,Shandong,19850,13697,6153
河南,Henan,14953,7638,7315
湖北,Hubei,9833,4812,5021
湖南,Hunan,14500,5075,9425
广东,Guangdong,221442,127861,93581
广西,Guangxi,6107,1842,4265
海南,Hainan,841,536,305
重庆,Chongqing,6135,4225,1910
四川,Sichuan,17292,10661,6631
贵州,Guizhou,4542,2699,1843
云南,Yunnan,2633,1798,835
西藏,Tibet,266,228,38
陕西,Shaanxi,4774,3243,1531
甘肃,Gansu,2167,1455,712
青海,Qinghai,316,181,135
宁夏,Ningxia,496,402,94
新疆,Xinjiang,845,498,347
台湾,Taiwan,1324,958,366
香港,Hong Kong,1304,1103,201
澳门,Macao,22,14,8
广州,Guangzhou,56588,24559,32029
长春,Changchun,1381,1091,290
武汉,Wuhan,3847,3070,777
南京,Nanjing,4828,4300,528
杭州,Hangzhou,13973,12101,1872
西安,Xi'an,3399,2562,837
济南,Jinan,2461,2032,429
沈阳,Shenyang,1543,967,576
成都,Chengdu,9987,7997,1990
大连,Dalian,1060,648,412
厦门,Xiamen,6381,5775,606
哈尔滨,Harbin,1301,681,620
深圳,Shenzhen,55350,48207,7143
青岛,Qingdao,4539,3968,571
宁波,Ningbo,16731,11563,5168
新疆兵团,Xinjiang Bingtuan,52,33,19
