,,A部 Section A 人类生活必需 Human necessities,B部 Section B 作业、运输 Performing operations; Transporting,C部 Section C 化学、冶金 Chemistry; Metallurgy,D部 Section D 纺织、造纸 Textiles; Paper,E部 Section E  固定建筑物 Fixed constructions,F部 Section F 机械工程；照明；加热；武器；爆破 Mechanical engineering; Lighting; Heating; Weapons; Blasting,G部 Section G 物理 Physics,H部 Section H 电学 Electricity,A----H 合计 Total
,,46210,93532,73712,7236,21279,37541,132967,117650,530127
,国家和地区 Countries and Regions,,,,,,,,,
安道尔,AD,0,0,0,0,2,0,0,1,3
阿联酋,AE,1,4,6,0,1,0,1,3,16
阿根廷,AR,1,0,0,0,1,0,0,0,2
奥地利,AT,80,154,72,11,48,98,53,152,668
澳大利亚,AU,85,49,42,2,27,26,39,49,319
巴巴多斯,BB,7,15,0,0,0,24,17,36,99
比利时,BE,51,66,73,25,11,59,60,71,416
保加利亚,BG,1,1,0,0,0,0,0,5,7
百慕大,BM,4,1,1,0,0,1,16,37,60
文莱,BN,0,0,0,0,0,0,0,1,1
巴西,BR,7,14,6,0,3,15,6,4,55
巴哈马,BS,1,0,1,0,0,0,1,0,3
白俄罗斯,BY,1,0,0,0,0,0,0,0,1
加拿大,CA,79,106,46,4,31,86,111,112,575
刚果（金）,CD,0,0,0,0,0,0,1,0,1
瑞士,CH,453,451,311,31,39,168,534,366,2353
智利,CL,1,2,4,0,0,0,1,0,8
中国,CN,37591,78242,64708,6250,19817,27252,114056,92775,440691
哥伦比亚,CO,1,1,0,0,2,0,0,0,4
塞浦路斯,CY,1,1,2,0,0,1,0,4,9
捷克,CZ,3,9,2,4,0,7,7,4,36
德国,DE,701,2308,872,164,231,1914,1277,1930,9397
丹麦,DK,110,73,72,3,18,263,55,102,696
爱沙尼亚,EE,0,1,0,0,0,0,2,1,4
埃及,EG,0,0,0,0,1,0,0,0,1
西班牙,ES,42,49,34,3,16,37,18,24,223
芬兰,FI,27,141,54,29,13,44,64,181,553
斐济,FJ,1,0,0,0,0,0,0,0,1
法国,FR,339,743,314,34,45,436,466,572,2949
英国,GB,235,208,202,4,37,146,254,294,1380
直布罗陀,GI,0,0,0,0,0,0,1,0,1
几内亚,GN,1,0,0,0,0,0,0,0,1
希腊,GR,4,13,2,0,0,0,1,0,20
克罗地亚,HR,0,1,0,0,0,0,1,0,2
匈牙利,HU,4,3,5,0,0,1,2,2,17
爱尔兰,IE,44,20,14,0,2,26,36,113,255
以色列,IL,162,73,24,0,4,12,87,60,422
印度,IN,27,19,22,4,2,10,19,28,131
伊朗,IR,2,0,0,0,0,0,0,0,2
冰岛,IS,3,0,0,0,0,1,1,1,6
意大利,IT,181,365,108,40,52,199,114,112,1171
日本,JP,1733,5905,3122,347,324,3378,5549,8597,28955
韩国,KR,500,822,967,107,92,985,2220,3618,9311
开曼群岛,KY,7,5,5,0,3,2,1746,955,2723
哈萨克斯坦,KZ,1,0,0,0,0,2,1,0,4
黎巴嫩,LB,0,0,0,0,0,0,2,0,2
列支敦士登,LI,10,47,6,1,0,17,6,6,93
立陶宛,LT,1,3,1,0,0,0,1,0,6
卢森堡,LU,25,60,32,0,8,25,21,33,204
拉脱维亚,LV,0,0,1,0,0,0,0,0,1
摩洛哥,MA,0,0,1,0,0,0,0,0,1
摩纳哥,MC,1,1,1,0,0,0,2,0,5
马绍尔群岛,MH,1,0,0,0,0,0,0,0,1
马里,ML,0,0,1,0,0,0,0,0,1
马耳他,MT,4,0,3,0,0,1,1,1,10
毛里求斯,MU,1,2,0,0,0,0,1,0,4
墨西哥,MX,4,5,9,0,1,0,2,0,21
马来西亚,MY,8,5,3,1,0,0,2,6,25
荷兰,NL,484,211,302,22,35,138,395,370,1957
挪威,NO,19,23,17,0,10,17,29,14,129
新西兰,NZ,46,1,8,0,5,2,6,14,82
阿曼,OM,0,0,0,0,2,0,0,0,2
菲律宾,PH,0,1,0,0,0,0,0,3,4
波兰,PL,5,7,9,1,3,5,0,3,33
波多黎各,PR,3,0,0,0,0,0,0,0,3
葡萄牙,PT,13,4,3,0,2,1,3,4,30
卡塔尔,QA,1,0,0,0,0,1,0,1,3
罗马尼亚,RO,0,0,0,0,1,0,0,1,2
塞尔维亚,RS,0,0,0,0,0,1,1,0,2
俄罗斯,RU,6,9,9,0,2,5,26,14,71
沙特阿拉伯,SA,0,2,28,0,8,19,14,3,74
塞舌尔,SC,1,0,0,0,0,1,2,2,6
瑞典,SE,131,250,54,18,47,260,150,540,1450
新加坡,SG,45,35,50,1,8,11,559,339,1048
斯洛文尼亚,SI,1,1,0,0,3,4,0,4,13
斯洛伐克,SK,1,2,0,0,0,4,0,2,9
圣马力诺,SM,0,1,0,0,0,0,0,0,1
泰国,TH,2,1,13,0,2,1,9,10,38
土耳其,TR,7,2,4,6,4,9,2,3,37
乌克兰,UA,0,1,0,0,0,1,0,0,2
美国,US,2861,2982,2050,118,312,1822,4894,6045,21084
乌兹别克斯坦,UZ,0,0,2,0,0,0,0,0,2
英属维尔京群岛,VG,26,4,8,0,0,2,21,15,76
越南,VN,1,1,0,0,1,1,0,0,4
萨摩亚,WS,2,1,0,5,0,0,0,4,12
南非,ZA,8,5,5,1,3,0,1,3,26
赞比亚,ZM,0,0,1,0,0,0,0,0,1
