,,合计 Total,职务 Service,非职务 Non-service
,,132599,130386,2213
,地区Regions,,,
天津,Tianjin,18128,17707,421
河北,Hebei,17416,15904,1512
山西,Shanxi,8129,7363,766
内蒙古,Inner Mongolia,4029,3644,385
辽宁,Liaoning,19263,18201,1062
吉林,Jilin,9720,9187,533
黑龙江,Heilongjiang,9311,8125,1186
上海,Shanghai,71925,70682,1243
江苏,Jiangsu,144754,140180,4574
浙江,Zhejiang,99583,92923,6660
安徽,Anhui,54396,50621,3775
福建,Fujian,25579,24101,1478
江西,Jiangxi,13746,12702,1044
山东,Shandong,60333,56199,4134
河南,Henan,26270,23698,2572
湖北,Hubei,41356,39861,1495
湖南,Hunan,39264,36016,3248
广东,Guangdong,189062,183812,5250
广西,Guangxi,10273,9524,749
海南,Hainan,2160,2038,122
重庆,Chongqing,19523,18614,909
四川,Sichuan,34651,32882,1769
贵州,Guizhou,9168,8432,736
云南,Yunnan,7962,7374,588
西藏,Tibet,355,339,16
陕西,Shaanxi,34404,32344,2060
甘肃,Gansu,4831,4385,446
青海,Qinghai,1224,1128,96
宁夏,Ningxia,2101,1992,109
新疆,Xinjiang,3036,2734,302
台湾,Taiwan,10766,9823,943
香港,Hong Kong,1121,977,144
澳门,Macao,76,69,7
广州,Guangzhou,43901,42161,1740
长春,Changchun,8245,7987,258
武汉,Wuhan,31109,30455,654
南京,Nanjing,39747,38731,1016
杭州,Hangzhou,42762,41810,952
西安,Xi'an,31070,29526,1544
济南,Jinan,16164,15196,968
沈阳,Shenyang,8166,7745,421
成都,Chengdu,24827,24025,802
大连,Dalian,6792,6570,222
厦门,Xiamen,8503,8303,200
哈尔滨,Harbin,6962,6316,646
深圳,Shenzhen,76416,75181,1235
青岛,Qingdao,19441,19151,290
宁波,Ningbo,14262,13513,749
新疆兵团,Xinjiang Bingtuan,545,503,42
