,,2019年,2020年,2019年,2020年,2019年,2020年
,,546590,564510,474645,362738,1921978,2223056
,地区 Regions,,,,,,
天津,Tianjin,73310,85096,56538,51092,245828,288949
河北,Hebei,234388,283859,197054,175632,679742,837897
山西,Shanxi,65833,85379,47756,48021,181625,223410
内蒙古,Inner Mongolia,63759,71501,54247,45125,202198,240565
辽宁,Liaoning,117269,130597,95524,81384,397769,462852
吉林,Jilin,64441,75384,57058,45193,216256,253691
黑龙江,Heilongjiang,85783,93939,70128,58824,272831,321190
上海,Shanghai,438815,505260,361036,307405,1472627,1737353
江苏,Jiangsu,488511,603118,414190,367645,1545380,1862454
浙江,Zhejiang,733528,874293,610478,566301,2503624,2975001
安徽,Anhui,234339,303305,186040,174516,608523,768729
福建,Fujian,432736,540649,350193,331738,1282576,1571895
江西,Jiangxi,151127,199735,120407,120294,402535,512617
山东,Shandong,465121,565318,372223,349751,1297764,1610086
河南,Henan,353497,435379,271345,267953,873721,1121088
湖北,Hubei,189427,210889,147131,133448,546864,665143
湖南,Hunan,198822,244048,158843,149261,578641,710913
广东,Guangdong,1463989,1755995,1187686,1079852,4477109,5430003
广西,Guangxi,89684,121558,69572,65922,235568,295756
海南,Hainan,36627,44326,26944,23493,99885,120720
重庆,Chongqing,143996,160862,117711,104748,484628,576973
四川,Sichuan,281564,351668,225104,202200,833692,1014106
贵州,Guizhou,89652,125649,62033,58618,212200,266864
云南,Yunnan,116347,140461,91901,83847,360061,435055
西藏,Tibet,10510,13360,9532,7572,30763,37178
陕西,Shaanxi,134777,172599,101488,96266,402944,490260
甘肃,Gansu,39244,44459,28474,27215,98929,123823
青海,Qinghai,12303,16828,10101,9331,40592,48516
宁夏,Ningxia,18023,23252,13674,13139,55642,67201
新疆,Xinjiang,59058,84648,38522,42967,185954,221995
台湾,Taiwan,19719,14441,19270,13130,177309,178968
香港,Hong Kong,128121,172615,129563,110947,610556,691065
澳门,Macao,1446,1474,1380,977,7199,7816
广州,Guangzhou,409397,486261,337354,298343,1250876,1514106
长春,Changchun,30687,36889,27659,21781,101144,119135
武汉,Wuhan,96551,98544,72249,67206,276406,335561
南京,Nanjing,94840,111933,74750,69581,279383,342504
杭州,Hangzhou,217041,260743,177235,164476,668093,812977
西安,Xi'an,83165,101542,61692,58842,255771,307186
济南,Jinan,75604,91400,58999,57103,205190,263105
沈阳,Shenyang,45532,49736,38155,31226,154311,179060
成都,Chengdu,175542,219807,139690,125246,504667,615645
大连,Dalian,27918,30565,22259,18889,103205,117534
厦门,Xiamen,99026,123348,87547,75630,325284,391606
哈尔滨,Harbin,45213,48198,36734,30204,145250,170275
深圳,Shenzhen,500905,584659,395243,362942,1396734,1730268
青岛,Qingdao,86585,110549,68911,67342,246891,306949
宁波,Ningbo,77660,93526,65778,60163,279102,328218
